rep,pt,ci_l,ci_u,pi_l,pi_u,ri_l,ri_u,cov_ci,cov_pi,cov_ri,w_ci,w_pi,w_ri,f,y,yhat,yhat_retrain
0,0,-6.483599196369818,5.830871389978062,-5.015012846336559,4.362285039944803,-9.034009561524744,8.381281755132989,True,True,True,12.31447058634788,9.377297886281362,17.415291316657733,-4.7118892720086905,-4.284442216338155,-0.3263639031958778,-2.3587921378123475
0,1,3.1498558066235507,15.359668937736147,4.578398119870044,13.931126624489654,0.6211207101495795,17.88840403421012,True,True,True,12.209813131112597,9.35272850461961,17.26728332406054,12.648044605671831,11.922760547502905,9.254762372179849,12.314769272464702
0,2,1.0422784516175296,13.252091582730127,2.4708207648640226,11.823549269483633,-1.4864566448564416,15.780826679204097,True,True,True,12.209813131112597,9.352728504619611,17.26728332406054,7.738502174910641,5.696754249137622,7.147185017173828,7.185503989313982
0,3,-3.961976776470717,8.035782949662094,-2.6147944569699604,6.688600630161337,-6.446794174799677,10.520600347991053,True,True,True,11.997759726132811,9.303395087131298,16.96739452279073,4.794579185861988,3.9458918939102707,2.0369030865956885,8.715435918865317
0,4,4.016732134687139,16.226545265799736,5.445274447933632,14.798002952553244,1.4879970382131678,18.75528036227371,True,True,True,12.209813131112597,9.352728504619613,17.267283324060543,9.335466927477109,10.089302581181439,10.121638700243437,8.273304840083586
0,5,4.922052675791887,17.23652326213977,6.390639025825147,15.767936912106508,2.371642310636961,19.786933627294694,True,True,True,12.314470586347882,9.377297886281362,17.415291316657733,11.273447765251959,10.623409837056228,11.079287968965827,11.019086558094493
0,6,-0.7725424035154429,11.437270727597154,0.65599990973105,10.00872841435066,-3.301277499989414,13.966005824071125,True,True,True,12.209813131112597,9.35272850461961,17.26728332406054,7.079722569966121,7.024949758686572,5.3323641620408555,5.78677620996481
0,7,-10.21781847652282,2.09665210982506,-8.749232126489561,0.6280657597918005,-12.768228841677747,4.647062474979986,True,True,True,12.31447058634788,9.377297886281362,17.415291316657733,-7.504421359830524,-7.570721410181875,-4.06058318334888,-8.491877521503104
0,8,0.17948812818966253,12.28373893405749,1.5675663263294544,10.895660735917698,-2.3273842948882972,14.79061135713545,True,True,True,12.104250805867828,9.328094409588243,17.117995652023748,4.662467528917595,3.9571392193505694,6.2316135311235765,3.423812027020004
0,9,-6.187898782666225,6.126571803681656,-4.719312432632965,4.657985453648396,-8.738309147821152,8.676982168836581,True,True,True,12.31447058634788,9.377297886281362,17.415291316657733,-2.6154841405227476,-1.8581943227237023,-0.03066348949228459,-3.8829256417712714
0,10,3.4024497289402866,15.506700534808115,4.7905279270800785,14.118622336668324,0.8955773058623269,18.013572957886076,True,True,True,12.104250805867828,9.328094409588246,17.11799565202375,7.218987416816079,6.6020931581562055,9.4545751318742,3.8680931144515656
0,11,-6.6403175981633975,5.569495532949196,-5.211775284916906,4.140953219702705,-9.169052694637369,8.098230629423167,False,False,True,12.209813131112593,9.352728504619611,17.267283324060536,6.309626100972842,5.785498036211774,-0.5354110326071009,5.933966234791178
0,12,8.535915956809284,20.850386543157164,10.004502306842543,19.381800193123905,5.985505591654357,23.40079690831209,True,True,True,12.31447058634788,9.377297886281362,17.41529131665773,12.093594706473006,11.486971985869337,14.693151249983224,11.074159972398807
0,13,1.3466403211858893,13.66111090753377,2.8152266712191487,12.19252455750051,-1.2037700439690369,16.211521272688696,True,True,True,12.31447058634788,9.377297886281362,17.415291316657733,5.127861726110888,5.740989070026364,7.5038756143598295,4.671047649159847
0,14,7.100766283555274,19.2050170894231,8.488844481695065,17.81693889128331,4.593893860477314,21.71188951250106,True,True,True,12.104250805867828,9.328094409588246,17.117995652023744,10.883404081391278,12.238975113172103,13.152891686489188,12.76705843290728
0,15,-12.210396106150082,-0.0005829750374894971,-10.781853792903592,-1.4291252882839807,-14.739131202624055,2.5281521214364817,True,True,True,12.209813131112593,9.352728504619611,17.267283324060536,-5.559011356741352,-6.596016761096334,-6.105489540593786,-6.000839471838688
0,16,-4.551195274974632,7.763275311373248,-3.082608924941373,6.294688961339989,-7.101605640129558,10.313685676528173,True,True,True,12.31447058634788,9.377297886281362,17.415291316657733,3.0787848515735945,1.3955820653644482,1.606040018199308,2.5767074731631743
0,17,-4.875215586104556,7.439255000243325,-3.4066292360712964,5.970668650210065,-7.425625951259482,9.98966536539825,True,True,True,12.31447058634788,9.377297886281362,17.415291316657733,0.5679809608172537,0.6664538444735146,1.2820197070693844,3.645327067818571
0,18,-2.6855228099353377,9.524290321177256,-1.2569804966888465,8.095748007930764,-5.214257906409308,12.053025417651227,True,True,True,12.209813131112593,9.352728504619611,17.267283324060536,1.506719541101619,1.9227984218237495,3.419383755620959,4.278391860612195
0,19,-7.140865885763212,5.068947245349385,-5.712323572516718,3.6404049321028924,-9.669600982237183,7.597682341823356,True,False,True,12.209813131112597,9.352728504619611,17.26728332406054,-3.88266828974782,-6.098685796479043,-1.035959320206913,-0.5631823156783454
0,20,-9.763349166493386,2.4464639646192072,-8.334806853246896,1.017921651372716,-12.292084262967357,4.975199061093178,True,True,True,12.209813131112593,9.352728504619613,17.267283324060536,-4.946162390946426,-4.508889744615732,-3.6584426009370894,-6.693242988350963
0,21,6.554138899309759,18.658389705177587,7.942217097449551,17.270311507037796,4.047266476231799,21.16526212825555,True,True,True,12.104250805867828,9.328094409588246,17.11799565202375,15.941662181363313,16.218130881317435,12.606264302243673,16.30331533902525
